driver,race,race_1,race_2,race_3,race_4,last_year_tot,last_year_avg,last_year_std,same_race_last_year,score,year
 Felipe Massa,AUT,0.0,0.0,5.0,3.0,,,,,5,2017
 Felipe Massa,GBR,5.0,0.0,0.0,5.0,,,,,4,2017
 Felipe Massa,HUN,4.0,5.0,0.0,0.0,,,,,0,2017
 Felipe Massa,BEL,0.0,4.0,5.0,0.0,,,,,7,2017
 Felipe Massa,ITA,7.0,0.0,4.0,5.0,,,,,4,2017
 Felipe Massa,SIN,4.0,7.0,0.0,4.0,,,,,0,2017
 Felipe Massa,MAL,0.0,4.0,7.0,0.0,,,,,2,2017
 Felipe Massa,JPN,2.0,0.0,4.0,7.0,,,,,4,2017
 Felipe Massa,USA,4.0,2.0,0.0,4.0,,,,,5,2017
 Felipe Massa,MEX,5.0,4.0,2.0,0.0,,,,,0,2017
 Felipe Massa,BRA,0.0,5.0,4.0,2.0,,,,,9,2017
 Felipe Massa,ABU,9.0,0.0,5.0,4.0,,,,,4,2017
 Lance Stroll,AUS,,,,,4.0,0.17391304347826086,0.8340576562282992,0.0,0,2017
 Lance Stroll,CHN,0.0,,,,4.0,0.17391304347826086,0.8340576562282992,,0,2017
 Lance Stroll,BHR,0.0,0.0,,,4.0,0.17391304347826086,0.8340576562282992,4.0,0,2017
 Lance Stroll,RUS,0.0,0.0,0.0,,4.0,0.17391304347826086,0.8340576562282992,0.0,0,2017
 Lance Stroll,ESP,0.0,0.0,0.0,0.0,4.0,0.17391304347826086,0.8340576562282992,0.0,0,2017
 Lance Stroll,MON,0.0,0.0,0.0,0.0,4.0,0.17391304347826086,0.8340576562282992,0.0,0,2017
 Lance Stroll,CAN,0.0,0.0,0.0,0.0,4.0,0.17391304347826086,0.8340576562282992,0.0,5,2017
 Lance Stroll,AZE,5.0,0.0,0.0,0.0,4.0,0.17391304347826086,0.8340576562282992,0.0,18,2017
 Lance Stroll,AUT,18.0,5.0,0.0,0.0,4.0,0.17391304347826086,0.8340576562282992,0.0,1,2017
 Lance Stroll,GBR,1.0,18.0,5.0,0.0,4.0,0.17391304347826086,0.8340576562282992,0.0,0,2017
 Lance Stroll,HUN,0.0,1.0,18.0,5.0,4.0,0.17391304347826086,0.8340576562282992,0.0,3,2017
 Lance Stroll,BEL,3.0,0.0,1.0,18.0,4.0,0.17391304347826086,0.8340576562282992,0.0,0,2017
 Lance Stroll,ITA,0.0,3.0,0.0,1.0,4.0,0.17391304347826086,0.8340576562282992,0.0,9,2017
 Lance Stroll,SIN,9.0,0.0,3.0,0.0,4.0,0.17391304347826086,0.8340576562282992,0.0,7,2017
 Lance Stroll,MAL,7.0,9.0,0.0,3.0,4.0,0.17391304347826086,0.8340576562282992,,7,2017
 Lance Stroll,JPN,7.0,7.0,9.0,0.0,4.0,0.17391304347826086,0.8340576562282992,0.0,0,2017
 Lance Stroll,USA,0.0,7.0,7.0,9.0,4.0,0.17391304347826086,0.8340576562282992,0.0,0,2017
 Lance Stroll,MEX,0.0,0.0,7.0,7.0,4.0,0.17391304347826086,0.8340576562282992,,11,2017
 Lance Stroll,BRA,11.0,0.0,0.0,7.0,4.0,0.17391304347826086,0.8340576562282992,,0,2017
 Lance Stroll,ABU,0.0,11.0,0.0,0.0,4.0,0.17391304347826086,0.8340576562282992,0.0,0,2017
 Romain Grosjean,AUS,,,,,,,,,0,2017
 Romain Grosjean,CHN,0.0,,,,,,,,0,2017
 Romain Grosjean,BHR,0.0,0.0,,,,,,,7,2017
 Romain Grosjean,RUS,7.0,0.0,0.0,,,,,,0,2017
 Romain Grosjean,ESP,0.0,7.0,0.0,0.0,,,,,4,2017
 Romain Grosjean,MON,4.0,0.0,7.0,0.0,,,,,7,2017
 Romain Grosjean,CAN,7.0,4.0,0.0,7.0,,,,,4,2017
 Romain Grosjean,AZE,4.0,7.0,4.0,0.0,,,,,0,2017
 Romain Grosjean,AUT,0.0,4.0,7.0,4.0,,,,,11,2017
 Romain Grosjean,GBR,11.0,0.0,4.0,7.0,,,,,0,2017
 Romain Grosjean,HUN,0.0,11.0,0.0,4.0,,,,,0,2017
